Attack Vector,Likelihood,Impact,Weight
Firmware reflashing,0.6,1.0,0.6
Sensor-bias (magnet/IR),0.8,0.6,0.48
Power-rail surges,0.4,0.8,0.32000000000000006
Field-level tampering,0.6,0.6,0.36
Acoustic / EM side-channel,0.4,0.4,0.16000000000000003
Active optical LiDAR spoof,0.6,0.8,0.48
Camera/Depth blinding,0.8,0.8,0.6400000000000001
Ultrasound / EMI IMU drift,0.6,0.8,0.48
Physical adversarial patches,0.6,0.6,0.36
Sensor-driven privacy leak,0.6,0.6,0.36
Timing-channel jitter,0.4,0.4,0.16000000000000003
Memory-safety overflow,0.8,1.0,0.8
Race / TOCTOU on buffers,0.6,0.8,0.48
Estimator-bias tampering,0.6,0.8,0.48
Topic spoof / GUID hijack,0.8,0.8,0.6400000000000001
Replay / stale frame,0.8,0.6,0.48
Plain-text sniff / exfil,0.8,0.6,0.48
Discovery abuse / DoS,0.8,0.6,0.48
Adv. examples (vision/RL),0.6,0.8,0.48
Sequential perturbations,0.6,0.8,0.48
Slow fuse / concept drift,0.6,0.8,0.48
Reward hacking / spec gaming,0.4,0.8,0.32000000000000006
Model poisoning / FL backdoor,0.4,1.0,0.4
Physical backdoor trigger,0.4,1.0,0.4
FSM logic bombs,0.6,1.0,0.6
Param-gain tampering,0.6,0.8,0.48
Planner cost manipulation,0.6,0.8,0.48
Malicious OTA update,0.6,1.0,0.6
Trojaned pretrained model,0.6,0.8,0.48
Script / FSM corruption,0.6,0.8,0.48
Unauth. APIs,0.8,0.8,0.6400000000000001
Unsigned OTA / CI chain,0.6,1.0,0.6
Twin overload / sim gap,0.4,0.6,0.24
Runtime param tamper,0.8,0.8,0.6400000000000001
Ultrasound/laser cmd,0.6,0.6,0.36
Hidden / synthetic audio,0.6,0.6,0.36
Visual spoof / adv. patch,0.8,0.6,0.48
Privacy leak takeover,0.6,0.6,0.36
Social eng. trust abuse,0.8,0.6,0.48
